id,Type,Name,Grade,District,Lat,Lon,Reviewer_Nationality
1,Restaurants,BAVARIAN BARN RESTAURANT,A,Colombo,80.01667,6.86667,Russia
2,Restaurants,LORDS RESTAURANT,A,Gampaha,79.843249,7.206416,Ireland
3,Restaurants,NIHONBASHI RESTAURANT,A,Colombo,80.01667,6.86667,Australia
4,Restaurants,FREE WIND RESTAURANT & BAR,A,Trincomalee,80.75,7.25,United Kingdom
5,Restaurants,EDWIN RESTAURANT,B,Gampaha,79.843249,7.206416,New Zealand
6,Restaurants,DAKSHINA RESTAURANT,B,Gampaha,79.893962,6.971391,Poland
7,Restaurants,KUMU KUMA CHINESE RESTAURANT,A,Colombo,79.945297,6.834129,United Kingdom
8,Restaurants,HANSAGIRI RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
9,Restaurants,JAYALATH INN RESTAURANT,A,Gampaha,79.893994,7.068840127,Belgium
10,Restaurants,GREAT WALL RESTAURANTS,A,Colombo,80.01667,6.86667,Norway
11,Restaurants,EXCEL RESTAURANTS,A,Colombo,80.01667,6.86667,United Kingdom
12,Restaurants,PUBS AND PLACES- KANDY,A,Kandy,80.625828,7.295044,France
13,Restaurants,KANDOORI RESTAURANT (BERUWALA),A,Kalutara,79.982049,6.460387,United Kingdom
14,Restaurants,SENANI RESTAURANT,A,Kandy,80.625828,7.295044,Italy
15,Restaurants,JANAHITHA RESTAURANT,A,Gampaha,80,7.13333,Canada
16,Restaurants,FLAG & WHISTLE RESTAURANT & PUB,A,Colombo,80.01667,6.86667,Italy
17,Restaurants,CHANVAL RESTAURANT (MAHARAGAMA),A,Colombo,79.923272,6.851146,United Kingdom
18,Restaurants,PUBS AND PLACES - YATINUWARA,B,Kandy,80.625828,7.295044,Ireland
19,Restaurants,ISHARA RESTAURANT,A,Colombo,79.945297,6.834129,Netherlands
20,Restaurants,SAYURA RESTAURANT,A,Matale,80.656148,7.866782,Australia
21,Restaurants,RANWELI RESTAURANT,A,Matale,80.75,7.66667,United Kingdom
